id_municipio,latitude,longitude,fuso_horario,uf,regiao
5200050,-16.7573,-49.4412,America/Sao_Paulo,GO,Centro-Oeste
5200100,-16.197,-48.7057,America/Sao_Paulo,GO,Centro-Oeste
5200134,-17.396,-50.3749,America/Sao_Paulo,GO,Centro-Oeste
5200159,-16.4127,-50.1657,America/Sao_Paulo,GO,Centro-Oeste
5200175,-14.9778,-47.7823,America/Sao_Paulo,GO,Centro-Oeste
5200209,-18.0771,-48.7603,America/Sao_Paulo,GO,Centro-Oeste
5200258,-15.7617,-48.2816,America/Sao_Paulo,GO,Centro-Oeste
5200308,-16.0834,-48.5076,America/Sao_Paulo,GO,Centro-Oeste
5200506,-17.7292,-49.4769,America/Sao_Paulo,GO,Centro-Oeste
5200555,-14.1978,-49.3378,America/Sao_Paulo,GO,Centro-Oeste
5200605,-14.1305,-47.51,America/Sao_Paulo,GO,Centro-Oeste
5200803,-14.4797,-46.491,America/Sao_Paulo,GO,Centro-Oeste
5200829,-13.9236,-49.2962,America/Sao_Paulo,GO,Centro-Oeste
5200852,-16.2514,-49.9831,America/Sao_Paulo,GO,Centro-Oeste
5200902,-16.6151,-51.0919,America/Sao_Paulo,GO,Centro-Oeste
5201108,-16.3281,-48.953,America/Sao_Paulo,GO,Centro-Oeste
5201207,-18.3339,-48.2204,America/Sao_Paulo,GO,Centro-Oeste
5201306,-16.4642,-49.9617,America/Sao_Paulo,GO,Centro-Oeste
5201405,-16.8198,-49.2469,America/Sao_Paulo,GO,Centro-Oeste
5201454,-18.2941,-51.1516,America/Sao_Paulo,GO,Centro-Oeste
5201504,-18.9607,-51.9232,America/Sao_Paulo,GO,Centro-Oeste
5201603,-16.3563,-49.6804,America/Sao_Paulo,GO,Centro-Oeste
5201702,-15.8955,-52.2372,America/Sao_Paulo,GO,Centro-Oeste
5201801,-16.9087,-49.4476,America/Sao_Paulo,GO,Centro-Oeste
5202155,-15.0909,-50.6315,America/Sao_Paulo,GO,Centro-Oeste
5202353,-16.3837,-51.5563,America/Sao_Paulo,GO,Centro-Oeste
5202502,-14.9166,-51.075,America/Sao_Paulo,GO,Centro-Oeste
5202601,-16.6773,-50.4641,America/Sao_Paulo,GO,Centro-Oeste
5202809,-16.4672,-49.7579,America/Sao_Paulo,GO,Centro-Oeste
5203104,-16.1966,-52.5393,America/Sao_Paulo,GO,Centro-Oeste
5203203,-14.9658,-48.9086,America/Sao_Paulo,GO,Centro-Oeste
5203302,-16.9693,-48.9513,America/Sao_Paulo,GO,Centro-Oeste
5203401,-16.2063,-52.1728,America/Sao_Paulo,GO,Centro-Oeste
5203500,-18.2173,-49.74,America/Sao_Paulo,GO,Centro-Oeste
5203559,-16.6173,-48.9616,America/Sao_Paulo,GO,Centro-Oeste
5203575,-13.6329,-49.8106,America/Sao_Paulo,GO,Centro-Oeste
5203609,-16.4281,-49.3863,America/Sao_Paulo,GO,Centro-Oeste
5203807,-15.2428,-51.1602,America/Sao_Paulo,GO,Centro-Oeste
5203906,-18.1378,-49.0404,America/Sao_Paulo,GO,Centro-Oeste
